Name ,Ukrainian,Russian
ZACHEPYLIVSKYI RAION,347.0,554
ZMIIVSKYI RAION,1226.0,6593
ZOLOCHIVSKYI RAION,859.0,452
IZIUMSKYI RAION,414.0,359
KEHYCHIVSKYI RAION,742.0,231
KOLOMATSKYI RAION,113.0,67
KRASNOHRADSKYI RAION,924.0,1939
KRASNOKUTSKYI RAION,497.0,273
KUPIANSKYI RAION,544.0,680
LOZIVSKYI RAION,627.0,812
NOVOVODOLAZKYI RAION,505.0,1246
PERVOMAISKYI RAION,305.0,1952
PECHENIZKYI RAION,123.0,141
SAKHNOVSHCHYNSKYI RAION,648.0,176
KHARKIVSKYI RAION,2779.0,26405
CHUHUIVSKYI RAION,401.0,7142
SHEVCHENKIVSKYI RAION,549.0,410
KHERSON (miskrada),4682.0,85103
NOVA KAKHOVKA (miskrada),1118.0,13579
m. KAKHOVKA,790.0,4352
BILOZERSKYI RAION,1321.0,2744
BERYSLAVSKYI RAION,1626.0,1169
VELYKOLEPETYSKYI RAION,658.0,548
VELYKOOLEKSANDRIVSKYI RAION,807.0,282
VERKHNOROHACHYTSKYI RAION,333.0,182
VYSOKOPILSKYI RAION,542.0,235
HENICHESKYI RAION,842.0,14933
HOLOPRYSTANSKYI RAION,1300.0,2574
HORNOSTAIVSKYI RAION,417.0,240
IVANIVSKYI RAION,405.0,369
KALANCHATSKYI RAION,725.0,694
KAKHOVSKYI RAION,1063.0,1787
NYZHNOSIROHOZKYI RAION,542.0,1125
NOVOVORONTSOVSKYI RAION,417.0,181
NOVOTROITSKYI RAION,1101.0,1191
SKADOVSKYI RAION,1118.0,3219
TSIURUPYNSKYI RAION,1243.0,4456
CHAPLYNSKYI RAION,808.0,1254
m. KHMELNYTSKYI,6779.0,8453
m. KAMIANETS-PODILSKYI,1671.0,2089
m. NETISHYN,680.0,863
m. SLAVUTA,1216.0,660
m. STAROKOSTIANTYNIV,784.0,638
m. SHEPETIVKA,1710.0,581
BILOHIRSKYI RAION,235.0,41
VINKOVETSKYI RAION,240.0,43
VOLOCHYSKYI RAION,1751.0,142
HORODOTSKYI RAION,4197.0,107
DERAZHNIANSKYI RAION,345.0,87
DUNAIEVETSKYI RAION,298.0,172
IZIASLAVSKYI RAION,1018.0,433
KAMIANETS-PODILSKYI RAION,444.0,178
KRASYLIVSKYI RAION,1378.0,124
LETYCHIVSKYI RAION,833.0,110
NOVOUSHYTSKYI RAION,200.0,76
POLONSKYI RAION,3899.0,129
SLAVUTSKYI RAION,444.0,73
STAROKOSTIANTYNIVSKYI RAION,266.0,67
STAROSYNIAVSKYI RAION,60.0,19
TEOFIPOLSKYI RAION,184.0,39
KHMELNYTSKYI RAION,1484.0,246
CHEMEROVETSKYI RAION,124.0,70
SHEPETIVSKYI RAION,780.0,189
YARMOLYNETSKYI RAION,200.0,129
CHERKASY (miskrada),4182.0,19255
VATUTINE (miskrada),207.0,250
ZOLOTONOSHA (miskrada),508.0,350
SMILA (miskrada),976.0,1665
m. KANIV,379.0,719
m. UMAN,1288.0,1123
HORODYSHCHENSKYI RAION,308.0,139
DRABIVSKYI RAION,264.0,108
ZHASHKIVSKYI RAION,303.0,109
ZVENYHORODSKYI RAION,435.0,164
ZOLOTONISKYI RAION,353.0,235
KAMIANSKYI RAION,371.0,189
KANIVSKYI RAION,199.0,131
KATERYNOPILSKYI RAION,183.0,82
KORSUN-SHEVCHENKIVSKYI RAION,447.0,215
LYSIANSKYI RAION,166.0,65
MANKIVSKYI RAION,225.0,91
MONASTYRYSHCHENSKYI RAION,115.0,53
SMILIANSKYI RAION,291.0,147
TALNIVSKYI RAION,329.0,127
UMANSKYI RAION,358.0,249
KHRYSTYNIVSKYI RAION,326.0,158
CHERKASKYI RAION,613.0,392
CHYHYRYNSKYI RAION,311.0,234
CHORNOBAIVSKYI RAION,334.0,192
SHPOLIANSKYI RAION,444.0,160
m. CHERNIHIV,3178.0,43552
m. NIZHYN,1116.0,2106
m. PRYLUKY,1136.0,987
BAKHMATSKYI RAION,355.0,247
BOBROVYTSKYI RAION,219.0,149
BORZNIANSKYI RAION,270.0,123
VARVYNSKYI RAION,164.0,102
HORODNIANSKYI RAION,316.0,1653
ICHNIANSKYI RAION,308.0,142
KOZELETSKYI RAION,399.0,799
KOROPSKYI RAION,186.0,169
KORIUKIVSKYI RAION,226.0,297
KULYKIVSKYI RAION,90.0,88
MENSKYI RAION,302.0,260
NIZHYNSKYI RAION,124.0,93
NOVHOROD-SIVERSKYI RAION,158.0,11825
NOSIVSKYI RAION,203.0,130
PRYLUTSKYI RAION,435.0,196
RIPKYNSKYI RAION,315.0,1921
SEMENIVSKYI RAION,168.0,3643
SOSNYTSKYI RAION,127.0,71
SRIBNIANSKYI RAION,75.0,43
TALALAIVSKYI RAION,80.0,102
CHERNIHIVSKYI RAION,407.0,779
SHCHORSKYI RAION,225.0,2095
m. CHERNIVTSI,6723.0,11454
m. NOVODNISTROVSK,179.0,438
VYZHNYTSKYI RAION,227.0,82
HERTSAIVSKYI RAION,72.0,121
HLYBOTSKYI RAION,4393.0,100
ZASTAVNIVSKYI RAION,106.0,43
KITSMANSKYI RAION,286.0,91
KELMENETSKYI RAION,168.0,96
NOVOSELYTSKYI RAION,465.0,413
PUTYLSKYI RAION,43.0,15
SOKYRIANSKYI RAION,428.0,238
STOROZHYNETSKYI RAION,2463.0,579
KHOTYNSKYI RAION,322.0,111
Whole population,42253.0,339293
