,,,,
Name,Ukrainian,Russian,,1
DYMYTROV (miskrada),401,23297,,
DOBROPILLIA (miskrada),738,25582,,
DOKUCHAIVSK (miskrada),202,10977,,
DRUZHKIVKA (miskrada),449,24109,,
YENAKIIEVE (miskrada),665,56366,,
ZHDANIVKA (miskrada),68,5802,,
KRAMATORSK (miskrada),1425,79675,,
KRASNYI LYMAN (miskrada),312,4676,,
KRASNOARMIISK (miskrada),593,33643,,
MAKIIVKA (miskrada),1834,155952,,
MARIUPOL (miskrada),2122,232016,,
SELIDOVE (miskrada),466,23181,,
SLOVIANSK (miskrada),1334,45461,,
SNIZHNE (miskrada),393,32346,,
TOREZ (miskrada),392,37036,,
KHARTSYZK (miskrada),663,44832,,
SHAKHTARSK (miskrada),583,28612,,
m. AVDIIVKA,187,20071,,
m. VUHLEDAR,155,6744,,
m. KIROVSKE,149,12790,,
m. KOSTIANTYNIVKA,530,38762,,
m. NOVOHRODIVKA,168,6326,,
m. YASYNUVATA,178,16283,,
AMVROSIIVSKYI RAION,790,16927,,
ARTEMIVSKYI RAION,1021,5078,,
VELYKONOVOSILKIVSKYI RAION,1227,17400,,
VOLNOVASKYI RAION,1414,23073,,
VOLODARSKYI RAION,416,13715,,
DOBROPILSKYI RAION,363,663,,
KOSTIANTYNIVSKYI RAION,454,2362,,
KRASNOARMIISKYI RAION,677,5835,,
KRASNOLYMANSKYI RAION,389,800,,
MARINSKYI RAION,1337,23080,,
NOVOAZOVSKYI RAION,474,11919,,
OLEKSANDRIVSKYI RAION,262,947,,
PERSHOTRAVNEVYI RAION,336,14755,,
SLOVIANSKYI RAION,641,2487,,
STAROBESHIVSKYI RAION,349,28241,,
TELMANIVSKYI RAION,809,13338,,
SHAKHTARSKYI RAION,289,5804,,
YASYNUVATSKYI RAION,291,9585,,
KHERSON (miskrada),4682,85103,,
NOVA KAKHOVKA (miskrada),1118,13579,,
m. KAKHOVKA,790,4352,,
BILOZERSKYI RAION,1321,2744,,
BERYSLAVSKYI RAION,1626,1169,,
VELYKOLEPETYSKYI RAION,658,548,,
VELYKOOLEKSANDRIVSKYI RAION,807,282,,
VERKHNOROHACHYTSKYI RAION,333,182,,
VYSOKOPILSKYI RAION,542,235,,
HENICHESKYI RAION,842,14933,,
HOLOPRYSTANSKYI RAION,1300,2574,,
HORNOSTAIVSKYI RAION,417,240,,
IVANIVSKYI RAION,405,369,,
KALANCHATSKYI RAION,725,694,,
KAKHOVSKYI RAION,1063,1787,,
NYZHNOSIROHOZKYI RAION,542,1125,,
NOVOVORONTSOVSKYI RAION,417,181,,
NOVOTROITSKYI RAION,1101,1191,,
SKADOVSKYI RAION,1118,3219,,
TSIURUPYNSKYI RAION,1243,4456,,
CHAPLYNSKYI RAION,808,1254,,
LVIV (miskrada),12044,13880,,
BORYSLAV (miskrada),636,91,,
DROHOBYCH (miskrada),1195,429,,
CHERVONOHRAD (miskrada),1213,627,,
m. SAMBIR,634,105,,
m. STRYI,738,356,,
m. TRUSKAVETS,286,158,,
BRODIVSKYI RAION,433,138,,
BUSKYI RAION,145,35,,
HORODOTSKYI RAION,410,57,,
DROHOBYTSKYI RAION,327,14,,
ZHYDACHIVSKYI RAION,347,46,,
ZHOVKIVSKYI RAION,383,111,,
ZOLOCHIVSKYI RAION,606,124,,
KAMIANKA-BUZKYI RAION,263,90,,
MYKOLAIVSKYI RAION,483,158,,
MOSTYSKYI RAION,908,35,,
PEREMYSHLIANSKYI RAION,149,14,,
PUSTOMYTIVSKYI RAION,638,96,,
RADEKHIVSKYI RAION,109,23,,
SAMBIRSKYI RAION,452,83,,
