"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
130,240,"UKR","Ukraine",6,"Donets'k",130,"Kramators'ka","Mis'ka Rada","Mis'ka Rada",NA,"Kramatorsk"
131,240,"UKR","Ukraine",6,"Donets'k",131,"Krasnoarmiis'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
132,240,"UKR","Ukraine",6,"Donets'k",132,"Krasnoarmiis'kyi","Raion","District",NA,"Krasnoarmeyskyi-D"
133,240,"UKR","Ukraine",6,"Donets'k",133,"Krasnolymans'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
134,240,"UKR","Ukraine",6,"Donets'k",134,"Krasnolymans'kyi","Raion","District",NA,"Krasnolymanskyi"
135,240,"UKR","Ukraine",6,"Donets'k",135,"Maki‹vs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Makiivka"
136,240,"UKR","Ukraine",6,"Donets'k",136,"Mar‹ns'kyi","Raion","District",NA,"Mariinskyi"
137,240,"UKR","Ukraine",6,"Donets'k",137,"Mariupol's'ka","Mis'ka Rada","Mis'ka Rada",NA,"Mariupol"
138,240,"UKR","Ukraine",6,"Donets'k",138,"n.a. ( 181)",NA,NA,NA,NA
139,240,"UKR","Ukraine",6,"Donets'k",139,"n.a. ( 319)",NA,NA,NA,NA
140,240,"UKR","Ukraine",6,"Donets'k",140,"n.a. ( 384)",NA,NA,NA,NA
141,240,"UKR","Ukraine",6,"Donets'k",141,"n.a. ( 394)",NA,NA,NA,NA
142,240,"UKR","Ukraine",6,"Donets'k",142,"n.a. ( 488)",NA,NA,NA,NA
143,240,"UKR","Ukraine",6,"Donets'k",143,"n.a. ( 493)",NA,NA,NA,NA
144,240,"UKR","Ukraine",6,"Donets'k",144,"n.a. ( 511)",NA,NA,NA,NA
145,240,"UKR","Ukraine",6,"Donets'k",145,"Novoazovs'kyi","Raion","District",NA,"Novoazovskyi"
146,240,"UKR","Ukraine",6,"Donets'k",146,"Novohrodivs'ka","Misto","City",NA,"Novohrodivka"
147,240,"UKR","Ukraine",6,"Donets'k",147,"Oleksandrivs'kyi","Raion","District",NA,"Oleksandrivskyi"
148,240,"UKR","Ukraine",6,"Donets'k",148,"Pershotravnevyi","Raion","District",NA,NA
149,240,"UKR","Ukraine",6,"Donets'k",149,"Selydovs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Selydove"
150,240,"UKR","Ukraine",6,"Donets'k",150,"Shakhtars'ka","Mis'ka Rada","Mis'ka Rada",NA,"Shahtarsk-Don"
151,240,"UKR","Ukraine",6,"Donets'k",151,"Shakhtars'kyi","Raion","District",NA,"Shahtarskyi-Don"
152,240,"UKR","Ukraine",6,"Donets'k",152,"Slovians'ka","Mis'ka Rada","Mis'ka Rada",NA,"Sloviansk"
153,240,"UKR","Ukraine",6,"Donets'k",153,"Slovians'kyi","Raion","District",NA,"Slovyanskyi-Don"
154,240,"UKR","Ukraine",6,"Donets'k",154,"Snizhnens'ka","Mis'ka Rada","Mis'ka Rada",NA,"Snezhnoye"
155,240,"UKR","Ukraine",6,"Donets'k",155,"Starobeshivs'kyi","Raion","District",NA,"Starobeshevskyi"
156,240,"UKR","Ukraine",6,"Donets'k",156,"Tel'manivs'kyi","Raion","District",NA,"Telmanivskyi-Don"
