 , .1,Whole population
 ,OCHAKIVSKYI RAION,17062.0
 ,PERVOMAISKYI RAION,37203.0
 ,SNIHURIVSKYI RAION,47542.0
 ,m. ODESA,1010298.0
 ,m. IZMAIL,85098.0
 ,m. KOTOVSK,40664.0
 ,m. TEPLODAR,9036.0
 ,m. YUZHNE,24167.0
 ,BILHOROD-DNISTROVSKYI (miskrada),57550.0
 ,ILLICHIVSK (miskrada),63530.0
 ,ANANIVSKYI RAION,32537.0
 ,ARTSYZKYI RAION,51742.0
 ,BALTSKYI RAION,48604.0
 ,BEREZIVSKYI RAION,36046.0
 ,BILHOROD-DNISTROVSKYI RAION,62326.0
 ,BILIAIVSKYI RAION,104723.0
 ,BOLHRADSKYI RAION,74951.0
 ,VELYKOMYKHAILIVSKYI RAION,32687.0
 ,IVANIVSKYI RAION,29658.0
 ,IZMAILSKYI RAION,54692.0
 ,KILIISKYI RAION,59837.0
 ,KODYMSKYI RAION,34788.0
 ,KOMINTERNIVSKYI RAION,67214.0
 ,KOTOVSKYI RAION,30981.0
 ,KRASNOOKNIANSKYI RAION,22879.0
 ,LIUBASHIVSKYI RAION,33629.0
 ,MYKOLAIVSKYI RAION,20153.0
 ,OVIDIOPOLSKYI RAION,60308.0
 ,RENIISKYI RAION,40680.0
 ,ROZDILNIANSKYI RAION,56897.0
 ,SAVRANSKYI RAION,22367.0
 ,SARATSKYI RAION,49907.0
 ,TARUTYNSKYI RAION,45169.0
 ,TATARBUNARSKYI RAION,41710.0
 ,FRUNZIVSKYI RAION,21029.0
 ,SHYRIAIVSKYI RAION,29809.0
 ,m. POLTAVA,310755.0
 ,m. KREMENCHUK,232960.0
 ,m. LUBNY,52218.0
 ,m. MYRHOROD,41275.0
 ,KOMSOMOLSK (miskrada),54585.0
 ,VELYKOBAHACHANSKYI RAION,30064.0
 ,HADIATSKYI RAION,63679.0
 ,HLOBYNSKYI RAION,58678.0
 ,HREBINKIVSKYI RAION,26263.0
 ,DYKANSKYI RAION,22002.0
 ,ZINKIVSKYI RAION,42196.0
 ,KARLIVSKYI RAION,41572.0
 ,KOBELIATSKYI RAION,54144.0
 ,KOZELSHCHYNSKYI RAION,24954.0
 ,KOTELEVSKYI RAION,21614.0
 ,KREMENCHUTSKYI RAION,43975.0
 ,LOKHVYTSKYI RAION,51495.0
 ,LUBENSKYI RAION,40128.0
 ,MASHIVSKYI RAION,22947.0
 ,MYRHORODSKYI RAION,41148.0
 ,NOVOSANZHARSKYI RAION,39983.0
 ,ORZHYTSKYI RAION,29620.0
 ,PYRIATYNSKYI RAION,36499.0
 ,POLTAVSKYI RAION,66704.0
 ,RESHETYLIVSKYI RAION,29702.0
 ,SEMENIVSKYI RAION,32667.0
 ,KHOROLSKYI RAION,42105.0
 ,CHORNUKHYNSKYI RAION,16275.0
 ,CHUTIVSKYI RAION,26960.0
 ,SHYSHATSKYI RAION,24040.0
 ,m. RIVNE,245323.0
 ,m. DUBNO,38707.0
 ,m. KUZNETSOVSK,39643.0
 ,m. OSTROH,14325.0
 ,BEREZNIVSKYI RAION,63987.0
 ,VOLODYMYRETSKYI RAION,61981.0
 ,HOSHCHANSKYI RAION,38861.0
 ,DEMYDIVSKYI RAION,16375.0
 ,DUBENSKYI RAION,48704.0
 ,DUBROVYTSKYI RAION,51437.0
 ,ZARICHNENSKYI RAION,36345.0
 ,ZDOLBUNIVSKYI RAION,59007.0
 ,KORETSKYI RAION,39337.0
 ,KOSTOPILSKYI RAION,65603.0
 ,MLYNIVSKYI RAION,41756.0
 ,OSTROZKYI RAION,31265.0
 ,RIVNENSKYI RAION,87091.0
 ,RADYVYLIVSKYI RAION,40033.0
 ,ROKYTNIVSKYI RAION,51926.0
 ,SARNENSKYI RAION,99739.0
 ,SUMY (miskrada),294852.0
 ,HLUKHIV (miskrada),35244.0
 ,KONOTOP (miskrada),96365.0
 ,LEBEDYN (miskrada),29569.0
 ,OKHTYRKA (miskrada),50036.0
 ,ROMNY (miskrada),49935.0
 ,m. SHOSTKA,87200.0
 ,BILOPILSKYI RAION,61064.0
 ,BURYNSKYI RAION,36933.0
 ,VELYKOPYSARIVSKYI RAION,27222.0
 ,HLUKHIVSKYI RAION,32209.0
 ,KONOTOPSKYI RAION,39567.0
 ,KRASNOPILSKYI RAION,34113.0
 ,KROLEVETSKYI RAION,46752.0
 ,LEBEDYNSKYI RAION,27868.0
 ,LYPOVODOLYNSKYI RAION,23498.0
 ,NEDRYHAILIVSKYI RAION,31321.0
 ,OKHTYRSKYI RAION,31206.0
 ,PUTYVLSKYI RAION,34401.0
 ,ROMENSKYI RAION,46328.0
 ,SEREDYNO-BUDSKYI RAION,20955.0
 ,SUMSKYI RAION,62800.0
 ,TROSTIANETSKYI RAION,42134.0
 ,SHOSTKYNSKYI RAION,24749.0
 ,YAMPILSKYI RAION,30442.0
 ,m. TERNOPIL,226029.0
 ,BEREZHANSKYI RAION,44477.0
 ,BORSHCHIVSKYI RAION,75358.0
 ,BUCHATSKYI RAION,65078.0
 ,HUSIATYNSKYI RAION,66803.0
 ,ZALISHCHYTSKYI RAION,52915.0
 ,ZBARAZKYI RAION,60349.0
 ,ZBORIVSKYI RAION,47040.0
 ,KOZIVSKYI RAION,41841.0
 ,KREMENETSKYI RAION,73190.0
 ,LANOVETSKYI RAION,33294.0
 ,MONASTYRYSKYI RAION,34537.0
 ,PIDVOLOCHYSKYI RAION,46309.0
 ,PIDHAIETSKYI RAION,22913.0
 ,TEREBOVLIANSKYI RAION,70185.0
 ,TERNOPILSKYI RAION,60810.0
 ,CHORTKIVSKYI RAION,80861.0
 ,SHUMSKYI RAION,36511.0
 ,m. KHARKIV,1449871.0
 ,m. IZIUM,56075.0
 ,KUPIANSK (miskrada),62705.0
 ,LOZOVA (miskrada),73707.0
 ,LIUBOTYN (miskrada),26805.0
 ,PERVOMAISKYI (miskrada),33319.0
 ,CHUHUIV (miskrada),37348.0
 ,BALAKLIISKYI RAION,92794.0
 ,BARVINKIVSKYI RAION,32060.0
 ,BLYZNIUKIVSKYI RAION,25768.0
 ,BOHODUKHIVSKYI RAION,47560.0
 ,BORIVSKYI RAION,21228.0
 ,VALKIVSKYI RAION,36808.0
 ,VELYKOBURLUTSKYI RAION,28287.0
 ,VOVCHANSKYI RAION,54569.0
 ,DVORICHANSKYI RAION,22323.0
 ,DERHACHIVSKYI RAION,98521.0
 ,ZACHEPYLIVSKYI RAION,19059.0
 ,ZMIIVSKYI RAION,81307.0
 ,ZOLOCHIVSKYI RAION,34052.0
 ,IZIUMSKYI RAION,22256.0
 ,KEHYCHIVSKYI RAION,23459.0
 ,KOLOMATSKYI RAION,9038.0
 ,KRASNOHRADSKYI RAION,49224.0
 ,KRASNOKUTSKYI RAION,33122.0
 ,KUPIANSKYI RAION,29882.0
 ,LOZIVSKYI RAION,34551.0
 ,NOVOVODOLAZKYI RAION,40888.0
 ,PERVOMAISKYI RAION,19999.0
 ,PECHENIZKYI RAION,11827.0
 ,SAKHNOVSHCHYNSKYI RAION,26448.0
 ,KHARKIVSKYI RAION,186586.0
 ,CHUHUIVSKYI RAION,51077.0
 ,SHEVCHENKIVSKYI RAION,23290.0
 ,KHERSON (miskrada),362307.0
 ,NOVA KAKHOVKA (miskrada),75392.0
 ,m. KAKHOVKA,38166.0
 ,BILOZERSKYI RAION,68395.0
 ,BERYSLAVSKYI RAION,55976.0
 ,VELYKOLEPETYSKYI RAION,20798.0
 ,VELYKOOLEKSANDRIVSKYI RAION,31366.0
 ,VERKHNOROHACHYTSKYI RAION,14303.0
 ,VYSOKOPILSKYI RAION,17967.0
 ,HENICHESKYI RAION,66287.0
 ,HOLOPRYSTANSKYI RAION,64620.0
 ,HORNOSTAIVSKYI RAION,22068.0
 ,IVANIVSKYI RAION,18037.0
 ,KALANCHATSKYI RAION,25938.0
 ,KAKHOVSKYI RAION,40528.0
 ,NYZHNOSIROHOZKYI RAION,19823.0
 ,NOVOVORONTSOVSKYI RAION,25113.0
 ,NOVOTROITSKYI RAION,43131.0
 ,SKADOVSKYI RAION,49905.0
 ,TSIURUPYNSKYI RAION,72272.0
 ,CHAPLYNSKYI RAION,40297.0
 ,m. KHMELNYTSKYI,251077.0
 ,m. KAMIANETS-PODILSKYI,98873.0
 ,m. NETISHYN,34267.0
 ,m. SLAVUTA,34278.0
 ,m. STAROKOSTIANTYNIV,35015.0
 ,m. SHEPETIVKA,47988.0
 ,BILOHIRSKYI RAION,31707.0
 ,VINKOVETSKYI RAION,31085.0
 ,VOLOCHYSKYI RAION,60610.0
 ,HORODOTSKYI RAION,58348.0
 ,DERAZHNIANSKYI RAION,38289.0
 ,DUNAIEVETSKYI RAION,73276.0
 ,IZIASLAVSKYI RAION,54504.0
 ,KAMIANETS-PODILSKYI RAION,75506.0
 ,KRASYLIVSKYI RAION,61331.0
 ,LETYCHIVSKYI RAION,34588.0
 ,NOVOUSHYTSKYI RAION,36457.0
 ,POLONSKYI RAION,51366.0
 ,SLAVUTSKYI RAION,37691.0
 ,STAROKOSTIANTYNIVSKYI RAION,37459.0
 ,STAROSYNIAVSKYI RAION,24985.0
 ,TEOFIPOLSKYI RAION,32247.0
 ,KHMELNYTSKYI RAION,54610.0
 ,CHEMEROVETSKYI RAION,51009.0
 ,SHEPETIVSKYI RAION,40882.0
 ,YARMOLYNETSKYI RAION,39201.0
 ,CHERKASY (miskrada),293556.0
 ,VATUTINE (miskrada),20845.0
 ,ZOLOTONOSHA (miskrada),29515.0
 ,SMILA (miskrada),68710.0
 ,m. KANIV,26735.0
 ,m. UMAN,87843.0
 ,HORODYSHCHENSKYI RAION,49201.0
 ,DRABIVSKYI RAION,42818.0
 ,ZHASHKIVSKYI RAION,45483.0
 ,ZVENYHORODSKYI RAION,53683.0
 ,ZOLOTONISKYI RAION,48831.0
 ,KAMIANSKYI RAION,35580.0
 ,KANIVSKYI RAION,24843.0
 ,KATERYNOPILSKYI RAION,28993.0
 ,KORSUN-SHEVCHENKIVSKYI RAION,50052.0
 ,LYSIANSKYI RAION,28762.0
 ,MANKIVSKYI RAION,33196.0
 ,MONASTYRYSHCHENSKYI RAION,40501.0
 ,SMILIANSKYI RAION,38370.0
 ,TALNIVSKYI RAION,43685.0
 ,UMANSKYI RAION,51500.0
 ,KHRYSTYNIVSKYI RAION,39454.0
 ,CHERKASKYI RAION,78346.0
 ,CHYHYRYNSKYI RAION,36111.0
 ,CHORNOBAIVSKYI RAION,49741.0
