"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
182,240,"UKR","Ukraine",8,"Kharkiv",182,"Bohodukhivs'kyi","UA.KK.BH",NA,"","Raion","District","","Bohodukhiv"
183,240,"UKR","Ukraine",8,"Kharkiv",183,"Borivs'kyi","UA.KK.BO",NA,"","Raion","Raion","",""
184,240,"UKR","Ukraine",8,"Kharkiv",184,"Chuhu‹vs'ka","UA.KK.CM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
185,240,"UKR","Ukraine",8,"Kharkiv",185,"Chuhu‹vs'kyi","UA.KK.CR",NA,"","Raion","District","","Chihuyiv"
186,240,"UKR","Ukraine",8,"Kharkiv",186,"Derhachivs'kyi","UA.KK.DE",NA,"","Raion","District","","Derhachi"
187,240,"UKR","Ukraine",8,"Kharkiv",187,"Dvorichans'kyi","UA.KK.DV",NA,"","Raion","District","","Dvuricha"
188,240,"UKR","Ukraine",8,"Kharkiv",188,"Iziums'ka","UA.KK.IM",NA,"","Misto","City","",""
189,240,"UKR","Ukraine",8,"Kharkiv",189,"Iziums'kyi","UA.KK.IR",NA,"","Raion","District","","Izyum"
190,240,"UKR","Ukraine",8,"Kharkiv",190,"Kehychivs'kyi","UA.KK.KE",NA,"","Raion","District","","Kehichivka"
191,240,"UKR","Ukraine",8,"Kharkiv",191,"Kharkivs'ka","UA.KK.KM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
